,index,Unicode_Character,character,structure,segment,pinyin,segment1,segment2,pinyin1,pinyin2,consonant,vowel,tone,consonant1,vowel1,tone1,consonant2,vowel2,tone2,segment1_sound,segment2_sound
165,214,U+04FF3,俳,0,亻非,pai2,亻,非,ren2,fei1,p,ai,2,r,en,2,f,ei,1,"[0, 0, 1]","[0, 0, 0]"
166,215,U+04FF4,俴,0,亻戔,jian4,亻,戔,ren2,jian1,j,ian,4,r,en,2,j,ian,1,"[0, 0, 0]","[1, 1, 0]"
167,216,U+04FF5,俵,0,亻表,biao4,亻,表,ren2,biao3,b,iao,4,r,en,2,b,iao,3,"[0, 0, 0]","[1, 1, 0]"
168,217,U+04FF6,俶,0,亻叔,chu4,亻,叔,ren2,shu1,ch,u,4,r,en,2,sh,u,1,"[0, 0, 0]","[0, 1, 0]"
169,218,U+04FF8,俸,0,亻奉,feng4,亻,奉,ren2,feng4,f,eng,4,r,en,2,f,eng,4,"[0, 0, 0]","[1, 1, 1]"
171,220,U+04FFE,俾,0,亻卑,bi3,亻,卑,ren2,bei1,b,i,3,r,en,2,b,ei,1,"[0, 0, 0]","[1, 0, 0]"
172,221,U+05000,倀,0,亻長,chang1,亻,長,ren2,chang2,ch,ang,1,r,en,2,ch,ang,2,"[0, 0, 0]","[1, 1, 0]"
173,222,U+05002,倂,0,亻幷,bing4,亻,幷,ren2,bing4,b,ing,4,r,en,2,b,ing,4,"[0, 0, 0]","[1, 1, 1]"
174,223,U+05003,倃,0,亻咎,zan2,亻,咎,ren2,jiu4,z,an,2,r,en,2,j,iu,4,"[0, 0, 1]","[0, 0, 0]"
175,224,U+05004,倄,0,亻肴,yao2,亻,肴,ren2,yao2,y,ao,2,r,en,2,y,ao,2,"[0, 0, 1]","[1, 1, 1]"
176,225,U+05005,倅,0,亻卒,cui4,亻,卒,ren2,zu2,c,ui,4,r,en,2,z,u,2,"[0, 0, 0]","[0, 0, 0]"
177,226,U+05006,倆,0,亻兩,lia3,亻,兩,ren2,liang3,l,ia,3,r,en,2,l,iang,3,"[0, 0, 0]","[1, 0, 1]"
178,228,U+0500B,個,0,亻固,ge4,亻,固,ren2,gu4,g,e,4,r,en,2,g,u,4,"[0, 0, 0]","[1, 0, 1]"
179,229,U+0500C,倌,0,亻官,guan1,亻,官,ren2,guan1,g,uan,1,r,en,2,g,uan,1,"[0, 0, 0]","[1, 1, 1]"
180,230,U+0500F,倏,8,攸犬,shu1,攸,犬,you1,quan3,sh,u,1,y,ou,1,q,uan,3,"[0, 0, 1]","[0, 0, 0]"
181,231,U+05011,們,0,亻門,men5,亻,門,ren2,men2,m,en,5,r,en,2,m,en,2,"[0, 1, 0]","[1, 1, 0]"
182,232,U+05012,倒,0,亻到,dao3,亻,到,ren2,dao4,d,ao,3,r,en,2,d,ao,4,"[0, 0, 0]","[1, 1, 0]"
183,233,U+05013,倓,0,亻炎,tan2,亻,炎,ren2,yan2,t,an,2,r,en,2,y,an,2,"[0, 0, 1]","[0, 1, 1]"
184,234,U+05014,倔,0,亻屈,jue2,亻,屈,ren2,qu1,j,ue,2,r,en,2,q,u,1,"[0, 0, 1]","[0, 0, 0]"
